rating,default_mob,tenor,eir,prin_amt,lgd,recovery_rate,act_present_val,act_profit,opt_eir,opt_profit,solve_time
6,-1,24,0.465,22,-1.0,1.0,33.14246684839593,11.142466848395927,0.3594,1.31,37.0
5,-1,48,0.4,60,-1.0,1.0,113.97723382442682,53.97723382442682,0.3273,4.9231,37.0
5,-1,24,0.415,25,-1.0,1.0,36.062634971531494,11.062634971531494,0.3325,2.0012,37.0
5,-1,24,0.38,20,-1.0,1.0,27.971556439151456,7.971556439151456,0.3416,1.4038,37.0
3,-1,12,0.25,51,-1.0,1.0,57.23276273813158,6.2327627381315835,0.2968,5.3909,36.0
7,20,48,0.37,40,1.0,0.0,29.792953109891997,-10.207046890108003,0.4422,1.1807,37.0
3,-1,48,0.285,52,-1.0,1.0,82.55140177316832,30.551401773168323,0.2966,5.6382,36.0
8,-1,24,0.35,32,-1.0,1.0,43.5677756076411,11.567775607641103,0.2502,-1.311,37.0
6,5,36,0.38,60,1.0,0.0,11.197915142446547,-48.80208485755345,0.3624,3.5791,37.0
3,-1,36,0.38,20,-1.0,1.0,32.2888606010021,12.2888606010021,0.2952,2.1792,37.0
8,-1,30,0.38,25,-1.0,1.0,37.618101157753266,12.618101157753266,0.4459,0.7093,37.0
8,-1,24,0.465,30,-1.0,1.0,45.194272975085354,15.194272975085354,0.4461,0.5584,37.0
5,-1,36,0.345,50,-1.0,1.0,77.28961212306602,27.28961212306602,0.3317,3.7727,37.0
6,12,24,0.38,40,0.9,0.1,28.47609140507732,-11.52390859492268,0.339,2.9502,37.0
3,-1,48,0.38,52,-1.0,1.0,95.8600148481421,43.8600148481421,0.2953,5.5636,37.0
7,-1,24,0.375,20,-1.0,1.0,27.84720896159033,7.847208961590329,0.4531,0.5402,37.0
9,6,36,0.4,20,1.0,0.0,4.775141907989518,-15.224858092010482,0.4701,0.3771,37.0
3,3,36,0.31,50,-1.0,1.0,50.26537689317976,0.2653768931797629,0.2982,5.3469,37.0
7,-1,12,0.4,20,-1.0,1.0,24.198136192850683,4.198136192850683,0.4352,0.6458,37.0
2,-1,24,0.29,50,-1.0,1.0,64.44602398572096,14.446023985720956,0.2918,5.4741,36.0
5,-1,12,0.4,20,-1.0,1.0,24.198136192850683,4.198136192850683,0.3376,1.5034,36.0
3,-1,48,0.38,70,-1.0,1.0,129.04232768019125,59.04232768019125,0.2979,7.5389,37.0
9,-1,12,0.41,21,-1.0,1.0,25.53340472756383,4.5334047275638305,0.4666,0.3035,37.0
5,-1,48,0.38,44,-1.0,1.0,81.11232025612023,37.11232025612023,0.3476,3.0339,37.0
8,-1,48,0.395,30,-1.0,1.0,56.56529459211704,26.56529459211704,0.4635,0.7569,36.0
2,-1,30,0.375,51,-1.0,1.0,76.33243335606223,25.332433356062225,0.2965,5.2768,37.0
3,-1,48,0.38,40,-1.0,1.0,73.7384729601093,33.738472960109306,0.3048,3.9618,37.0
5,-1,36,0.38,30,-1.0,1.0,48.43329090150316,18.433290901503163,0.3424,2.0782,37.0
8,-1,24,0.4,20,-1.0,1.0,28.471852097640962,8.471852097640962,0.4658,0.4666,37.0
8,18,36,0.38,20,1.0,0.0,15.609434408837807,-4.3905655911621935,0.4138,0.4022,37.0
8,-1,24,0.4,20,-1.0,1.0,28.471852097640962,8.471852097640962,0.4393,0.6114,37.0
6,-1,36,0.395,20,-1.0,1.0,32.88638879917243,12.88638879917243,0.3986,0.8438,37.0
6,-1,24,0.425,31,-1.0,1.0,45.110757006867296,14.110757006867296,0.3759,1.6471,37.0
8,12,12,0.26,30,0.8,0.2,31.601614860790207,1.6016148607902068,0.4607,0.766,36.0
6,7,24,0.435,50,-1.0,1.0,58.38443255714485,8.384432557144848,0.3452,3.4567,36.0
7,23,24,0.38,30,0.5,0.5,40.17922957309765,10.17922957309765,0.4101,1.1463,37.0
3,-1,48,0.27,90,-1.0,1.0,139.39477394986426,49.39477394986426,0.2936,10.0697,37.0
5,-1,36,0.37,50,-1.0,1.0,79.73380136352934,29.733801363529338,0.3208,4.3156,37.0
5,-1,24,0.42,35,-1.0,1.0,50.70934389069667,15.709343890696672,0.3307,2.736,37.0
6,-1,36,0.385,21,-1.0,1.0,34.11180837383724,13.111808373837242,0.3626,1.2438,37.0
6,-1,36,0.38,30,-1.0,1.0,48.43329090150316,18.433290901503163,0.3614,1.4755,38.0
5,-1,12,0.41,23,-1.0,1.0,27.96515755876039,4.965157558760389,0.3359,1.7129,36.0
6,-1,36,0.38,20,-1.0,1.0,32.2888606010021,12.2888606010021,0.3513,1.3203,38.0
3,-1,36,0.24,70,-1.0,1.0,94.43553816108124,24.43553816108124,0.3002,7.2117,37.0
5,8,48,0.4,60,1.0,0.0,17.48438512650253,-42.51561487349747,0.3237,4.9299,36.0
6,6,24,0.35,50,1.0,0.0,14.520569130076463,-35.47943086992353,0.3627,2.9766,37.0
5,-1,24,0.405,20,-1.0,1.0,28.597649440798826,8.597649440798826,0.3283,1.6105,36.0
6,12,12,0.335,20,1.0,0.0,21.503794285184078,1.5037942851840782,0.3644,1.1274,37.0
4,-1,12,0.38,15,-1.0,1.0,17.970201386898456,2.970201386898456,0.3142,1.3462,37.0
