index,rating,default_mob,tenor,eir,prin_amt,lgd,recovery_rate,act_present_val,act_profit,opt_eir,opt_obj,solve_time
132,5,-1,48,0.4,47,-1.0,1.0,84.1472524261547,37.147252426154694,0.3599,2.7515,60.0
133,5,-1,24,0.36,20,-1.0,1.0,26.645578935952017,6.645578935952017,0.354,1.2262,59.0
134,5,-1,24,0.38,30,-1.0,1.0,40.689356143325085,10.689356143325085,0.3501,1.9212,60.0
135,6,-1,36,0.29,70,-1.0,1.0,96.42384260313956,26.423842603139562,0.3758,3.6813,61.0
136,4,-1,12,0.38,20,-1.0,1.0,23.578110196526445,3.5781101965264455,0.3359,1.4972,61.0
137,3,-1,12,0.195,25,-1.0,1.0,26.838389461487125,1.8383894614871252,0.316,2.2334,60.0
138,5,-1,48,0.37,80,-1.0,1.0,136.89955809294992,56.89955809294992,0.3534,5.1826,61.0
139,7,-1,48,0.38,60,-1.0,1.0,104.24629253343647,44.246292533436474,0.431,1.9702,61.0
140,1,-1,12,0.345,20,-1.0,1.0,23.17138703084388,3.1713870308438814,0.2951,2.0907,60.0
141,5,-1,12,0.35,20,-1.0,1.0,23.229263181086576,3.2292631810865764,0.3581,1.2167,61.0
142,5,-1,24,0.35,20,-1.0,1.0,26.40695531083751,6.40695531083751,0.3423,1.4437,60.0
143,3,-1,24,0.385,31,-1.0,1.0,42.233019595450024,11.233019595450024,0.3136,2.7877,61.0
144,7,-1,24,0.43,33,-1.0,1.0,46.77348642454945,13.773486424549453,0.4266,1.0219,61.0
145,3,-1,36,0.305,50,-1.0,1.0,70.22218715543298,20.222187155432977,0.3132,4.4692,61.0
146,5,-1,24,0.38,30,-1.0,1.0,40.689356143325085,10.689356143325085,0.3492,1.9964,61.0
147,7,16,24,0.37,50,1.0,0.0,42.946213931766216,-7.053786068233784,0.444,1.4532,62.0
148,4,-1,12,0.4,20,-1.0,1.0,23.812183963122834,3.812183963122834,0.3377,1.4614,61.0
149,8,-1,12,0.38,20,-1.0,1.0,23.578110196526445,3.5781101965264455,0.4655,0.3978,61.0
150,6,-1,24,0.465,22,-1.0,1.0,32.140879491786954,10.140879491786954,0.3871,1.0469,60.0
151,5,-1,48,0.4,60,-1.0,1.0,107.42202437381454,47.42202437381454,0.3548,3.753,61.0
152,5,-1,24,0.415,25,-1.0,1.0,34.97279819508651,9.972798195086511,0.3424,1.769,59.0
153,5,-1,24,0.38,20,-1.0,1.0,27.12623742888339,7.126237428883389,0.3645,1.1488,60.0
154,3,-1,12,0.25,51,-1.0,1.0,56.31991919447085,5.319919194470849,0.3153,4.4897,60.0
155,7,20,48,0.37,40,1.0,0.0,29.068202255910805,-10.931797744089195,0.4273,1.2168,61.0
156,3,-1,48,0.285,52,-1.0,1.0,77.80359634828538,25.80359634828538,0.3156,4.612,60.0
157,8,-1,24,0.35,32,-1.0,1.0,42.25112849734002,10.25112849734002,0.2909,-0.4884,62.0
158,6,5,36,0.38,60,1.0,0.0,11.12853589007393,-48.871464109926066,0.3724,3.2256,61.0
159,3,-1,36,0.38,20,-1.0,1.0,30.865855449474466,10.865855449474466,0.3116,1.8721,61.0
160,8,-1,30,0.38,25,-1.0,1.0,36.21879567792831,11.218795677928313,0.4618,0.4417,61.0
161,8,-1,24,0.465,30,-1.0,1.0,43.828472034254936,13.828472034254936,0.3313,0.0082,61.0
162,5,-1,36,0.345,50,-1.0,1.0,73.88337498234503,23.883374982345032,0.3686,2.7428,61.0
163,6,12,24,0.38,40,0.9,0.1,27.98623012427577,-12.013769875724229,0.384,1.9589,61.0
164,3,-1,48,0.38,52,-1.0,1.0,90.3467868623116,38.3467868623116,0.3113,4.722,61.0
165,7,-1,24,0.375,20,-1.0,1.0,27.00564781466783,7.005647814667832,0.3535,0.4428,60.0
166,9,6,36,0.4,20,1.0,0.0,4.7396834441316695,-15.26031655586833,0.4473,0.2032,60.0
167,3,3,36,0.31,50,-1.0,1.0,48.10885922793894,-1.891140772061057,0.3123,4.5931,60.0
168,7,-1,12,0.4,20,-1.0,1.0,23.812183963122834,3.812183963122834,0.4339,0.6547,60.0
169,2,-1,24,0.29,50,-1.0,1.0,62.4984223451104,12.498422345110399,0.304,4.8447,60.0
170,5,-1,12,0.4,20,-1.0,1.0,23.812183963122834,3.812183963122834,0.3329,1.2085,60.0
171,3,-1,48,0.38,70,-1.0,1.0,121.62067462234253,51.620674622342534,0.3147,6.2463,58.0
172,9,-1,12,0.41,21,-1.0,1.0,25.126155408500228,4.126155408500228,0.4305,0.1396,59.0
173,5,-1,48,0.38,44,-1.0,1.0,76.44728119118676,32.44728119118676,0.3585,2.6673,60.0
174,8,-1,48,0.395,30,-1.0,1.0,53.31203654009151,23.312036540091512,0.4713,0.5952,60.0
175,2,-1,30,0.375,51,-1.0,1.0,73.49304516271381,22.493045162713813,0.3038,5.0242,61.0
176,3,-1,48,0.38,40,-1.0,1.0,69.49752835562431,29.49752835562431,0.3142,3.5636,59.0
177,5,-1,36,0.38,30,-1.0,1.0,46.29878317421169,16.298783174211692,0.3606,1.7695,61.0
178,8,-1,24,0.4,20,-1.0,1.0,27.611413820349064,7.611413820349064,0.4709,0.375,62.0
179,8,18,36,0.38,20,1.0,0.0,15.266841075413549,-4.733158924586451,0.3924,0.3396,61.0
180,8,-1,24,0.4,20,-1.0,1.0,27.611413820349064,7.611413820349064,0.4079,0.3349,62.0
181,6,-1,36,0.395,20,-1.0,1.0,31.43704993105174,11.437049931051739,0.3902,0.908,60.0
182,6,-1,24,0.425,31,-1.0,1.0,43.7474799740557,12.7474799740557,0.3812,1.5282,60.0
183,8,12,12,0.26,30,0.8,0.2,31.127768132737287,1.1277681327372875,0.4519,0.5486,61.0
184,6,7,24,0.435,50,-1.0,1.0,56.731215782836514,6.7312157828365144,0.3932,2.2466,60.0
185,7,23,24,0.38,30,0.5,0.5,39.012333428068516,9.012333428068516,0.3811,0.8008,60.0
186,3,-1,48,0.27,90,-1.0,1.0,131.3777173070465,41.37771730704651,0.3173,7.9601,60.0
187,5,-1,36,0.37,50,-1.0,1.0,76.21984614865679,26.219846148656785,0.3545,3.2216,60.0
